object_id,mjd,passband,flux,flux_err,detected
615,59750.4229,2,-544.810303,3.622952,1
615,59750.4306,1,-816.434326,5.553370,1
615,59750.4383,3,-471.385529,3.801213,1
615,59750.4450,4,-388.984985,11.395031,1
615,59752.4070,2,-681.858887,4.041204,1
615,59752.4147,1,-1061.457031,6.472994,1
615,59752.4224,3,-524.954590,3.552751,1
615,59752.4334,4,-393.480225,3.599346,1
615,59752.4435,5,-355.886780,10.421921,1
615,59767.2968,2,-548.013550,3.462291,1
615,59767.3045,1,-815.188599,5.293019,1
615,59767.3122,3,-475.516052,3.340643,1
615,59767.3233,4,-405.663818,3.496113,1
615,59767.3343,5,-421.199066,6.377517,1
615,59770.2179,2,-554.903198,3.927843,1
615,59770.2256,1,-820.042786,5.875329,1
615,59770.2334,3,-477.004730,3.736262,1
615,59770.2445,4,-400.270386,3.834955,1
615,59770.2557,5,-415.286896,7.435979,1
615,59779.3188,2,-630.523682,4.333287,1
615,59779.3265,1,-921.002502,6.306800,1
615,59779.3342,3,-518.533997,3.915225,1
615,59779.3452,4,-422.184509,4.089213,1
615,59779.3562,5,-422.815094,8.124096,1
615,59782.1897,2,-280.039520,2.819228,1
615,59782.1974,1,-449.095612,4.028310,1
615,59782.2051,3,-316.704865,3.491153,1
615,59782.2162,4,-332.885437,4.021619,1
615,59782.2274,5,-365.075775,8.514805,1
